Price,ppi,cpu_core,cpu_freq,internal_mem,ram,RearCam,Front_Cam,thickness
2357,424,8,1.35,16,3,13,8,7.4
1749,233,2,1.3,4,1,3.15,0,9.9
1916,312,4,1.2,8,1.5,13,5,7.6
1315,233,2,1.3,4,0.512,3.15,0,11
1749,233,2,1.3,4,1,3.15,0,9.9
2137,401,4,2.3,16,2,16,8,9.5
1238,233,2,1.2,8,1,2,0,11.7
2137,401,4,2.3,16,2,16,8,9.5
1315,233,2,1.3,4,0.512,3.15,0,11
2580,432,4,2.5,16,2,16,2,8.1
2438,277,8,1.5,32,4,13,8,7.7
2006,200,8,1.4,4,1,5,0,8.9
2174,294,4,1.3,16,1,13,5,8.2
2744,524,4,2.7,32,3,16,3.7,8.3
2580,432,4,2.5,16,2,16,2,8.1
1612,294,4,1.2,8,1.5,8,1.2,10
2258,441,4,2.3,16,2,13,2,10
2938,534,4,1.875,32,4,12.3,8,8.5
1612,294,4,1.2,8,1.5,8,1.2,10
1238,233,2,1.2,8,1,2,0,11.7
2438,277,8,1.5,32,4,13,8,7.7
2392,282,8,1.4,32,3,13,16,7.7
2977,577,8,2.3,32,4,12,5,7.9
2744,524,4,2.7,32,3,16,3.7,8.3
1942,469,4,2.15,16,2,16,4,10.3
1390,220,4,1.2,8,1,5,5,8.8
2006,200,8,1.4,4,1,5,0,8.9
2938,534,4,1.875,32,4,12.3,8,8.5
1390,220,4,1.2,8,1,5,5,8.8
1950,187,4,1.3,8,1,8,2,6.4
2258,441,4,2.3,16,2,13,2,10
2977,577,8,2.3,32,4,12,5,7.9
3316,428,8,1.75,32,3,20.7,5.1,6.9
2654,386,8,1.55,32,2,16,5,5.9
1421,233,2,1,4,0.512,2,0,9.8
2654,386,8,1.55,32,2,16,5,5.9
1942,469,4,2.15,16,2,16,4,10.3
2124,224,4,2.26,16,2,5,2,7.8
1777,178,4,1.3,4,0.512,5,0,9.2
2392,282,8,1.4,32,3,13,16,7.7
2124,224,4,2.26,16,2,5,2,7.8
2087,294,4,1.3,32,3,8,5,7.6
1843,218,4,1.3,8,1,5,0,10.1
2087,294,4,1.3,32,3,8,5,7.6
2859,515,4,1.875,64,4,12,5,7.9
1989,294,4,1.3,16,2,13,5,8.7
1421,233,2,1,4,0.512,2,0,9.8
3316,428,8,1.75,32,3,20.7,5.1,6.9
1843,218,4,1.3,8,1,5,0,10.1
2685,386,8,1.8,32,3,21,5,7.5
1741,245,4,1.2,8,1,5,0,12.3
1347,170,2,1.3,4,0.512,2,0,9.1
2859,515,4,1.875,64,4,12,5,7.9
3658,428,8,2.45,64,6,12,8,7.5
1984,294,4,1,8,1,8,5,8.1
1777,178,4,1.3,4,0.512,5,0,9.2
3658,428,8,2.45,64,6,12,8,7.5
1984,294,4,1,8,1,8,5,8.1
1989,294,4,1.3,16,2,13,5,8.7
1741,245,4,1.2,8,1,5,0,12.3
2824,401,6,1.53,32,3,21,8,9.3
2746,401,4,1.83,64,4,13,5,8.5
1347,170,2,1.3,4,0.512,2,0,9.1
2323,306,8,1.7,16,1,8,5,5.1
2685,386,8,1.8,32,3,21,5,7.5
2824,401,6,1.53,32,3,21,8,9.3
2746,401,4,1.83,64,4,13,5,8.5
2044,283,8,2,8,2,5,2,7.3
1734,245,4,1.2,4,1,8,0,8.5
2323,306,8,1.7,16,1,8,5,5.1
1734,245,4,1.2,4,1,8,0,8.5
2276,294,8,1.5,16,2,13,5,7.8
